ファイルパス,総行数,実行行数,コメント行数,空行数
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/data/Comparator/StepCountDataComparatorReverse.java,30,9,19,2
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/data/Comparator/StepCountDataComparator.java,31,9,19,3
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/stepCount/IfStepCount.java,42,9,29,4
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/constant/EnumReverseLookup.java,57,18,34,5
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/util/Util.java,59,25,30,4
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/main/arg/ScriptArguments.java,61,22,34,5
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/commentPatternMatch/IfCommentPatternMatch.java,72,11,56,5
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/commentPatternMatch/CommentPatternMatchFactory.java,112,31,73,8
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/commentPatternMatch/CsCommentPatternMatch.java,114,40,66,8
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/commentPatternMatch/JavaCommentPatternMatch.java,114,40,66,8
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/stepCount/StepCountFactory.java,115,32,74,9
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/commentPatternMatch/AbsCommentPatternMatch.java,121,37,70,14
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/main/arg/Arguments.java,126,52,64,10
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/stepCount/AbsStepCount.java,130,33,87,10
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/constant/Constant.java,135,44,78,13
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/util/log/Log4J2.java,143,63,66,14
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/stepCount/CsStepCount.java,144,82,52,10
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/util/validator/ValidatorUtil.java,151,77,65,9
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/logic/stepCount/JavaStepCount.java,163,83,70,10
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/data/StepCountData.java,189,73,100,16
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/data/AllFilesStepCountData.java,196,107,74,15
/Applications/Eclipse_2021-06.app/Contents/workspace/stepCount_ver2/src/main/StepCountMain.java,300,149,137,14
合計,2605,1046,1363,196
